brand,nameProduct,category_id
"Samsung,""Galaxy J5 2016"",1"
"Samsung,""Galaxy J5 2016"",1"
"Samsung,""Galaxy J5 2016"",1"
"Samsung,""Galaxy J7 2016"",1"
"Samsung,""Galaxy J7 2016"",1"
"Samsung,""Galaxy J7 2016"",1"
"Sony,""Xperia X"",1"
"Sony,""Xperia X"",1"
"Sony,""Xperia X"",1"
"Samsung,""Galaxy S6 Edge"",1"
"Samsung,""Galaxy S6 Edge"",1"
"Samsung,""Galaxy S6 Edge"",1"
"Samsung,""Galaxy S6 Edge"",1"
"Samsung,""Galaxy S6 Edge"",1"
Samsung,C3592,1
Samsung,C3592,1
Samsung,C3592,1
Samsung,B350,1
Samsung,B350,1
Samsung,B105E,1
Samsung,B105E,1
Samsung,B105E,1
Samsung,B110E,1
"Samsung,""B110E "",1"
Samsung,B110E,1
LG,G360,1
LG,G360,1
Nokia,105,1
Nokia,105,1
Nokia,215,1
Nokia,215,1
Nokia,215,1
Nokia,130,1
Nokia,130,1
Nokia,130,1
Nokia,108,1
Nokia,108,1
Nokia,222,1
Nokia,222,1
Nokia,225,1
Nokia,225,1
Nokia,230,1
Samsung,HS-130,1
"Samsung,""HS-330 "",1"
Samsung,HS-330,1
Samsung,HS-330,1
Samsung,G920F,1
"Golf,""Golf 5200 mAh"",1"
"Apacer,""Micro SD 2 GB"",1"
"Apacer,""Micro SD 4 GB"",1"
"Apacer,""Micro SD 8 GB"",1"
"Apacer,""Micro SD 16 GB"",1"
"Apacer,""Micro SD 32 GB"",1"
"Silicon Power,""Silicon Power"",1"
"Silicon Power,""Silicon Power"",1"
"Silicon Power,""Silicon Power"",1"
"Silicon Power,""Silicon Power"",1"
"Silicon Power,""Silicon Power"",1"
Lenovo,204,1
"Apple,""iPad Pro Wi-Fi 256GB"",1"
"Lenovo,""Vibe C (2020)"",1"
"Samsung,""Galaxy Tab A"",1"
"Samsung,""Galaxy Tab A"",1"
"Samsung,""Galaxy Tab A"",1"
"Samsung,""Galaxy Tab E "",1"
"Samsung,""Galaxy Tab E"",1"
"Samsung,""Galaxy Tab E"",1"
"Samsung,""Galaxy Tab E"",1"
"Samsung,""Galaxy Tab E"",1"
"Samsung,""Galaxy Tab А "",1"
"Samsung,""Galaxy Tab А "",1"
"Samsung,""Galaxy Tab А"",1"
"Samsung,""Galaxy Tab S2 "",1"
"Samsung,""Galaxy Tab S2 "",1"
"Samsung,""Galaxy Tab S2 "",1"
"Lenovo,""TAB 2 A7-30 16GB "",1"
"Samsung,""Galaxy Tab S2 VE "",1"
"Samsung,""Galaxy Tab S2 VE "",1"
"Samsung,""Galaxy Tab S2 VE "",1"
"Samsung,""Galaxy Tab S2 VE "",1"
"Sigma,""Comfort 50 Mini3"",1"
"Sigma,""Comfort 50 Mini3"",1"
"Sigma,""Comfort 50 Mini3"",1"
"Sigma,""Comfort 50 Mini3"",1"
"Sigma,""X-style 11 Dragon"",1"
"Sigma,""X-style 11 Dragon"",1"
"Sigma,""X-style 11 Dragon"",1"
"Sigma,""X-style 11 Dragon"",1"
"Sigma,""X-style 11 Dragon"",1"
"Sigma,""X-treme AT67 Kantri"",1"
"Sigma,""X-treme IT67"",1"
"Sigma,""X-treme IT67"",1"
"Sigma,""X-treme IT68"",1"
"Apple,""iPhone 6S 128 Gb"",1"
"Apple,""iPad Pro Wi-Fi 256GB "",1"
"Sigma,""Х-treme PQ16"",1"
"Sigma,""X-treme PQ16"",1"
"Lenovo,""TAB 2 A7-30"",1"
"Lenovo,""TAB 2 A7-30"",1"
"Lenovo,""TAB 2 A7-30"",1"
"Lenovo,""TAB2 X30"",1"
"Apple,""iPad mini 4 16GB"",1"
"Sigma,""X-treme PQ23"",1"
"Sigma,""X-treme PQ23"",1"
"Sigma,""X-treme PQ25"",1"
"Sigma,""X-treme PQ25"",1"
"Sigma,""X-treme PQ27"",1"
"Sigma,""X-treme PQ30"",1"
"Sigma,""X-treme DZ67"",1"
"Sigma,""X-treme DZ67"",1"
"Lenovo,""TAB 2 A8-50 16Gb"",1"
"Lenovo,""YOGA TABLET 3-850L 16Gb"",1"
"Apple,""iPad mini 4 16GB"",1"
"Lenovo,""TAB 2 A10-70"",1"
"Lenovo,""TAB 3 X70 32GB"",1"
"Lenovo,""TAB 2 A8-50 "",1"
"Lenovo,""YOGA TABLET 3-X50"",1"
"Lenovo,""TAB3 710 8GB"",1"
"Apple,""iPad mini 4"",1"
"Lenovo,""TAB 2 A10-70"",1"
"Lenovo,""IdeaPad MiiX 310 "",1"
"Apple,""iPad Pro Wi-Fi 256GB"",1"
"Apple,""iPad mini 3 Wi-Fi 16GB"",1"
"Apple,""iPad mini Retina Wi-Fi 16GB"",1"
"Apple,""iPad mini Retina Wi-Fi 16GB"",1"
"Apple,""iPad Air 2 Wi-Fi 16GB"",1"
"Apple,""iPad Air 2 Wi-Fi 16GB"",1"
"PNGXE,""PNGXE iPhone 5 Black (AD-205)"",1"
"PNGXE,""PNGXE iPhone 5 White(AD 205)"",1"
"Apple,""iPad Pro Wi-Fi 128GB (MLQ32) "",1"
"Apple,""iPad Pro Wi-Fi 128GB (MLYL2) "",1"
"Apple,""iPad Pro Wi-Fi128GB (MLQ52) "",1"
"Apple,""iPad Pro Wi-Fi 32GB (MLMQ2) "",1"
"Apple,""iPad Pro Wi-Fi 32GB (MM172) "",1"
" Asus,""ZenPad C Z170CG-1A004A 7&quot,1"
" Asus,""ZenPad C Z170CG-1B004A 3G 16Gb"",1"
" Asus,""ZenPad Z380C-1L041A 16Gb"",1"
" Asus,""ZenPad Z380KL 1A008A  LTE 16G"",1"
" Asus,""ZenPad Z380KL-1B007A LTE 16G"",1"
" Asus,""ZenPad C Z170CG-1L017A 3G 8Gb"",1"
" Asus,""ZenPad C Z170CG-1B016A 3G 8Gb "",1"
" Asus,""ZenPad C Z170CG-1A024A 3G 8Gb"",1"
" Asus,""ZenPad Z300C-1A001A 16Gb"",1"
" Asus,""ZenPad ZD300CG-1A013A 3G 16GB +Keyboard "",1"
" Asus,""ZenPad Z300C-1B078A 16Gb"",1"
" Asus,""Transformer TF103CG-1B021A 3G 16GB"",1"
" Asus,""ZenPad Z300C-1A096A 8Gb"",1"
" Asus,""Transformer T100HA-FU011T 64GB"",1"
" Asus,""Transformer T100CHI-FG007T 64GB"",1"
" Asus,""Transformer T100HA-FU032T 128GB"",1"
" Asus,""Transformer T100CHI-FG008T 128GB"",1"
